Review,ReviewLower,ReviewClean,Fix Slang,Tokenized,Stopword,Stemmed_Text
"Semakin banyak updatenya semakin buruk pula cara berjalannya aplikasi. Lagi asik scroll tiba-tiba keluar dengan sendirinya, tiba-tiba keluar dari akun dan mulai login dari awal lagi. Tolong untuk developer untuk memaksimalkan kelancaran aplikasi dan kurangi bug/hapus bug dapat mengganggu para penggunanya.","semakin banyak updatenya semakin buruk pula cara berjalannya aplikasi. lagi asik scroll tiba-tiba keluar dengan sendirinya, tiba-tiba keluar dari akun dan mulai login dari awal lagi. tolong untuk developer untuk memaksimalkan kelancaran aplikasi dan kurangi bug/hapus bug dapat mengganggu para penggunanya.",semakin banyak updatenya semakin buruk pula cara berjalannya aplikasi lagi asik scroll tibatiba keluar dengan sendirinya tibatiba keluar dari akun dan mulai login dari awal lagi tolong untuk developer untuk memaksimalkan kelancaran aplikasi dan kurangi bug hapus bug dapat mengganggu para penggunanya,semakin banyak updatenya semakin buruk pula cara berjalannya aplikasi lagi asik scroll tibatiba keluar dengan sendirinya tibatiba keluar dari akun dan mulai login dari awal lagi tolong untuk developer untuk memaksimalkan kelancaran aplikasi dan kurangi bug hapus bug dapat mengganggu para penggunanya,"['semakin', 'banyak', 'updatenya', 'semakin', 'buruk', 'pula', 'cara', 'berjalannya', 'aplikasi', 'lagi', 'asik', 'scroll', 'tibatiba', 'keluar', 'dengan', 'sendirinya', 'tibatiba', 'keluar', 'dari', 'akun', 'dan', 'mulai', 'login', 'dari', 'awal', 'lagi', 'tolong', 'untuk', 'developer', 'untuk', 'memaksimalkan', 'kelancaran', 'aplikasi', 'dan', 'kurangi', 'bug', 'hapus', 'bug', 'dapat', 'mengganggu', 'para', 'penggunanya']","['updatenya', 'buruk', 'berjalannya', 'aplikasi', 'asik', 'scroll', 'tibatiba', 'tibatiba', 'akun', 'login', 'tolong', 'developer', 'memaksimalkan', 'kelancaran', 'aplikasi', 'kurangi', 'bug', 'hapus', 'bug', 'mengganggu', 'penggunanya']",updatenya buruk jalan aplikasi asik scroll tibatiba tibatiba akun login tolong developer maksimal lancar aplikasi kurang bug hapus bug ganggu guna
"aplikasi jelek, update malah makin banyak bug nya. entah itu suara video nya delay lah, daftar following/er ilang lah. video ga bisa diputar dll, tolong ini jelek banget update nya tau gitu kembalikan saja ke setelan awal hadehhh","aplikasi jelek, update malah makin banyak bug nya. entah itu suara video nya delay lah, daftar following/er ilang lah. video ga bisa diputar dll, tolong ini jelek banget update nya tau gitu kembalikan saja ke setelan awal hadehhh",aplikasi jelek update malah makin banyak bug nya entah itu suara video nya delay lah daftar following er ilang lah video ga bisa diputar dll tolong ini jelek banget update nya tau gitu kembalikan saja ke setelan awal hadehh,aplikasi jelek update bahkan makin banyak bug nya entah itu suara video nya delay lah daftar following er hilang lah video tidak bisa diputar dan lain-lain tolong ini jelek banget update nya tahu begitu kembalikan saja ke setelan awal hadehh,"['aplikasi', 'jelek', 'update', 'bahkan', 'makin', 'banyak', 'bug', 'nya', 'entah', 'itu', 'suara', 'video', 'nya', 'delay', 'lah', 'daftar', 'following', 'er', 'hilang', 'lah', 'video', 'tidak', 'bisa', 'diputar', 'dan', 'lain-lain', 'tolong', 'ini', 'jelek', 'banget', 'update', 'nya', 'tahu', 'begitu', 'kembalikan', 'saja', 'ke', 'setelan', 'awal', 'hadehh']","['aplikasi', 'jelek', 'update', 'bug', 'suara', 'video', 'delay', 'daftar', 'following', 'er', 'hilang', 'video', 'diputar', 'lain-lain', 'tolong', 'jelek', 'banget', 'update', 'kembalikan', 'setelan', 'hadehh']",aplikasi jelek update bug suara video delay daftar following er hilang video putar lain tolong jelek banget update kembali setel hadehh
"apk ini semakin lama semakin parah bug nya, saya masuk x dapat verifikasi dan saat saya mau menyelesaikannya halaman tersebut terulang dengan kalimat yang sama lagi setelah saya verifikasi satu tantangan, saya terpaksa harus mendownload ulang.. tetapi itu kembali ngelag dan ngebug lagi! mohon di perbaiki lebih lanjut saya muak jika begini terus.","apk ini semakin lama semakin parah bug nya, saya masuk x dapat verifikasi dan saat saya mau menyelesaikannya halaman tersebut terulang dengan kalimat yang sama lagi setelah saya verifikasi satu tantangan, saya terpaksa harus mendownload ulang.. tetapi itu kembali ngelag dan ngebug lagi! mohon di perbaiki lebih lanjut saya muak jika begini terus.",apk ini semakin lama semakin parah bug nya saya masuk x dapat verifikasi dan saat saya mau menyelesaikannya halaman tersebut terulang dengan kalimat yang sama lagi setelah saya verifikasi satu tantangan saya terpaksa harus mendownload ulang tetapi itu kembali ngelag dan ngebug lagi mohon di perbaiki lebih lanjut saya muak jika begini terus,apk ini semakin lama semakin parah bug nya saya masuk x dapat verifikasi dan saat saya mau menyelesaikannya halaman tersebut terulang dengan kalimat yang sama lagi setelah saya verifikasi satu tantangan saya terpaksa harus mendownload ulang tetapi itu kembali ngelag dan ngebug lagi mohon di perbaiki lebih lanjut saya muak jika begini terus,"['apk', 'ini', 'semakin', 'lama', 'semakin', 'parah', 'bug', 'nya', 'saya', 'masuk', 'x', 'dapat', 'verifikasi', 'dan', 'saat', 'saya', 'mau', 'menyelesaikannya', 'halaman', 'tersebut', 'terulang', 'dengan', 'kalimat', 'yang', 'sama', 'lagi', 'setelah', 'saya', 'verifikasi', 'satu', 'tantangan', 'saya', 'terpaksa', 'harus', 'mendownload', 'ulang', 'tetapi', 'itu', 'kembali', 'ngelag', 'dan', 'ngebug', 'lagi', 'mohon', 'di', 'perbaiki', 'lebih', 'lanjut', 'saya', 'muak', 'jika', 'begini', 'terus']","['apk', 'parah', 'bug', 'masuk', 'x', 'verifikasi', 'menyelesaikannya', 'halaman', 'terulang', 'kalimat', 'verifikasi', 'tantangan', 'terpaksa', 'mendownload', 'ulang', 'ngelag', 'ngebug', 'mohon', 'perbaiki', 'muak']",apk parah bug masuk x verifikasi selesai halaman ulang kalimat verifikasi tantang paksa mendownload ulang ngelag ngebug mohon baik muak
"udah berkali kali sering lag, aku mau login pun susah. lihat thread, gambar, juga susah. setelah ganti jadi X kenapa gini ya, mempersulit banget padahal jaringan koneksi stabil ga ada kesalahan. Ini tolong di perbaiki, ga sekali dua kali loh.","udah berkali kali sering lag, aku mau login pun susah. lihat thread, gambar, juga susah. setelah ganti jadi x kenapa gini ya, mempersulit banget padahal jaringan koneksi stabil ga ada kesalahan. ini tolong di perbaiki, ga sekali dua kali loh.",udah berkali kali sering lag aku mau login pun susah lihat thread gambar juga susah setelah ganti jadi x kenapa gini ya mempersulit banget padahal jaringan koneksi stabil ga ada kesalahan ini tolong di perbaiki ga sekali dua kali loh,sudah berkali kali sering lag aku mau login pun susah lihat thread gambar juga susah setelah ganti jadi x kenapa begini iya mempersulit banget padahal jaringan koneksi stabil tidak ada kesalahan ini tolong di perbaiki tidak sekali dua kali loh,"['sudah', 'berkali', 'kali', 'sering', 'lag', 'aku', 'mau', 'login', 'pun', 'susah', 'lihat', 'thread', 'gambar', 'juga', 'susah', 'setelah', 'ganti', 'jadi', 'x', 'kenapa', 'begini', 'iya', 'mempersulit', 'banget', 'padahal', 'jaringan', 'koneksi', 'stabil', 'tidak', 'ada', 'kesalahan', 'ini', 'tolong', 'di', 'perbaiki', 'tidak', 'sekali', 'dua', 'kali', 'loh']","['berkali', 'kali', 'lag', 'login', 'susah', 'lihat', 'thread', 'gambar', 'susah', 'ganti', 'x', 'mempersulit', 'banget', 'jaringan', 'koneksi', 'stabil', 'kesalahan', 'tolong', 'perbaiki', 'kali']",kali kali lag login susah lihat thread gambar susah ganti x sulit banget jaring koneksi stabil salah tolong baik kali
"ini x nya gimana sih abis diupdate malah jadi tambh rusak saya lagi ngescrool tiba tiba aja langsung ga keluar sendiri terus saya coba lagi malah gabisa ngeload. Woi, perbaikin x bisa gak? loading lama banget, sok-sokan beli yang ada malah rusak yang ada appnya","ini x nya gimana sih abis diupdate malah jadi tambh rusak saya lagi ngescrool tiba tiba aja langsung ga keluar sendiri terus saya coba lagi malah gabisa ngeload. woi, perbaikin x bisa gak? loading lama banget, sok-sokan beli yang ada malah rusak yang ada appnya",ini x nya gimana sih abis diupdate malah jadi tambh rusak saya lagi ngescrool tiba aja langsung ga keluar sendiri terus saya coba lagi malah gabisa ngeload woi perbaikin x bisa gak loading lama banget soksokan beli yang ada malah rusak yang ada appnya,ini x nya bagaimana sih habis diupdate bahkan jadi tambh rusak saya lagi ngescrool tiba saja langsung tidak keluar sendiri terus saya coba lagi bahkan tidak bisa ngeload woi perbaikin x bisa tidak loading lama banget soksokan beli yang ada bahkan rusak yang ada appnya,"['ini', 'x', 'nya', 'bagaimana', 'sih', 'habis', 'diupdate', 'bahkan', 'jadi', 'tambh', 'rusak', 'saya', 'lagi', 'ngescrool', 'tiba', 'saja', 'langsung', 'tidak', 'keluar', 'sendiri', 'terus', 'saya', 'coba', 'lagi', 'bahkan', 'tidak', 'bisa', 'ngeload', 'woi', 'perbaikin', 'x', 'bisa', 'tidak', 'loading', 'lama', 'banget', 'soksokan', 'beli', 'yang', 'ada', 'bahkan', 'rusak', 'yang', 'ada', 'appnya']","['x', 'habis', 'diupdate', 'tambh', 'rusak', 'ngescrool', 'langsung', 'coba', 'ngeload', 'perbaikin', 'x', 'loading', 'banget', 'soksokan', 'beli', 'rusak', 'appnya']",x habis diupdate tambh rusak ngescrool langsung coba ngeload perbaikin x loading banget soksokan beli rusak appnya
"udah update, postingan mutual saya masih sering ngebug (alias yang tweet baru mereka gaada muncul). Malah tweet lama mereka doang yang keliatan. Aplikasi aneh. Kadang baca thread dari bikinan orang juga gak muncul semuanya berurutan. Malahan ada yang gak keliatan. Udah coba utak atik, tetep gak ngaruh. Emang dasarnya aplikasi makin jelek aja.","udah update, postingan mutual saya masih sering ngebug (alias yang tweet baru mereka gaada muncul). malah tweet lama mereka doang yang keliatan. aplikasi aneh. kadang baca thread dari bikinan orang juga gak muncul semuanya berurutan. malahan ada yang gak keliatan. udah coba utak atik, tetep gak ngaruh. emang dasarnya aplikasi makin jelek aja.",udah update postingan mutual saya masih sering ngebug alias yang tweet baru mereka gaada muncul malah tweet lama mereka doang yang keliatan aplikasi aneh kadang baca thread dari bikinan orang juga gak muncul semuanya berurutan malahan ada yang gak keliatan udah coba utak atik tetep gak ngaruh emang dasarnya aplikasi makin jelek aja,sudah update postingan mutual saya masih sering ngebug alias yang tweet baru mereka tidak ada uang muncul bahkan tweet lama mereka saja yang kelihatan aplikasi aneh kadang baca thread dari bikinan orang juga tidak muncul semuanya berurutan malahan ada yang tidak kelihatan sudah coba utak atik tetep tidak berpengaruh memang dasarnya aplikasi makin jelek saja,"['sudah', 'update', 'postingan', 'mutual', 'saya', 'masih', 'sering', 'ngebug', 'alias', 'yang', 'tweet', 'baru', 'mereka', 'tidak', 'ada', 'uang', 'muncul', 'bahkan', 'tweet', 'lama', 'mereka', 'saja', 'yang', 'kelihatan', 'aplikasi', 'aneh', 'kadang', 'baca', 'thread', 'dari', 'bikinan', 'orang', 'juga', 'tidak', 'muncul', 'semuanya', 'berurutan', 'malahan', 'ada', 'yang', 'tidak', 'kelihatan', 'sudah', 'coba', 'utak', 'atik', 'tetep', 'tidak', 'berpengaruh', 'memang', 'dasarnya', 'aplikasi', 'makin', 'jelek', 'saja']","['update', 'postingan', 'mutual', 'ngebug', 'alias', 'tweet', 'uang', 'muncul', 'tweet', 'aplikasi', 'aneh', 'kadang', 'baca', 'thread', 'bikinan', 'orang', 'muncul', 'berurutan', 'coba', 'utak', 'atik', 'tetep', 'berpengaruh', 'dasarnya', 'aplikasi', 'jelek']",update postingan mutual ngebug alias tweet uang muncul tweet aplikasi aneh kadang baca thread bikin orang muncul rurut coba utak atik tetep pengaruh dasar aplikasi jelek
"semenjak twit ganti jdi x malah bugnya malah nambah, pas mau liat"" gambar, gambar nya selalu gak muncul dan itu harus bolak balik ngehapus cache baru bisa ada gambarnya itupun setengah. Tolong perbaiki lagi (soalnya bikin stress 😀) EDIT: tolong perbaiki bug gambar tiba tiba hilang soalnya ngeselin, terus bug GK bisa nyimpen gambar ITU NGUESELINNN BANGET PLISS 😭","semenjak twit ganti jdi x malah bugnya malah nambah, pas mau liat"" gambar, gambar nya selalu gak muncul dan itu harus bolak balik ngehapus cache baru bisa ada gambarnya itupun setengah. tolong perbaiki lagi (soalnya bikin stress 😀) edit: tolong perbaiki bug gambar tiba tiba hilang soalnya ngeselin, terus bug gk bisa nyimpen gambar itu ngueselinnn banget pliss 😭",semenjak twit ganti jdi x malah bugnya malah nambah pas mau liat gambar nya selalu gak muncul dan itu harus bolak balik ngehapus cache baru bisa ada gambarnya itupun setengah tolong perbaiki lagi soalnya bikin stress  edit tolong perbaiki bug gambar tiba hilang soalnya ngeselin terus bug gk bisa nyimpen gambar itu ngueselinn banget pliss,semenjak twit ganti jadi x bahkan bugnya bahkan nambah pas mau lihat gambar nya selalu tidak muncul dan itu harus bolak balik ngehapus cache baru bisa ada gambarnya itupun setengah tolong perbaiki lagi soalnya bikin stress edit tolong perbaiki bug gambar tiba hilang soalnya ngeselin terus bug tidak bisa nyimpen gambar itu ngueselinn banget pliss,"['semenjak', 'twit', 'ganti', 'jadi', 'x', 'bahkan', 'bugnya', 'bahkan', 'nambah', 'pas', 'mau', 'lihat', 'gambar', 'nya', 'selalu', 'tidak', 'muncul', 'dan', 'itu', 'harus', 'bolak', 'balik', 'ngehapus', 'cache', 'baru', 'bisa', 'ada', 'gambarnya', 'itupun', 'setengah', 'tolong', 'perbaiki', 'lagi', 'soalnya', 'bikin', 'stress', 'edit', 'tolong', 'perbaiki', 'bug', 'gambar', 'tiba', 'hilang', 'soalnya', 'ngeselin', 'terus', 'bug', 'tidak', 'bisa', 'nyimpen', 'gambar', 'itu', 'ngueselinn', 'banget', 'pliss']","['semenjak', 'twit', 'ganti', 'x', 'bugnya', 'nambah', 'pas', 'lihat', 'gambar', 'muncul', 'bolak', 'ngehapus', 'cache', 'gambarnya', 'itupun', 'tolong', 'perbaiki', 'bikin', 'stress', 'edit', 'tolong', 'perbaiki', 'bug', 'gambar', 'hilang', 'ngeselin', 'bug', 'nyimpen', 'gambar', 'ngueselinn', 'banget', 'pliss']",semenjak twit ganti x bugnya nambah pas lihat gambar muncul bolak ngehapus cache gambar itu tolong baik bikin stress edit tolong baik bug gambar hilang ngeselin bug nyimpen gambar ngueselinn banget pliss
"setiap mencet notifikasi dari X notifikasinya kosong dan gak ada apa-apa pas di cek di aplikasinya malah notifikasinya ilang. Ohh yaa, tambahin juga fitur buat liat notifikasi sebelumnya kayak di YouTube soalnya itu berguna banget 👍 Notifikasinya kebanyakan belum juga sempet baca udah ilang gitu aja 🙄 apalagi kalo ada berita, drama, gorengan atau dongeng sebelum tidur yang sayang banget buat dilewatin!","setiap mencet notifikasi dari x notifikasinya kosong dan gak ada apa-apa pas di cek di aplikasinya malah notifikasinya ilang. ohh yaa, tambahin juga fitur buat liat notifikasi sebelumnya kayak di youtube soalnya itu berguna banget 👍 notifikasinya kebanyakan belum juga sempet baca udah ilang gitu aja 🙄 apalagi kalo ada berita, drama, gorengan atau dongeng sebelum tidur yang sayang banget buat dilewatin!",setiap mencet notifikasi dari x notifikasinya kosong dan gak ada apaapa pas di cek di aplikasinya malah notifikasinya ilang ohh yaa tambahin juga fitur buat liat notifikasi sebelumnya kayak di youtube soalnya itu berguna banget  notifikasinya kebanyakan belum juga sempet baca udah ilang gitu aja  apalagi kalo ada berita drama gorengan atau dongeng sebelum tidur yang sayang banget buat dilewatin,setiap mencet notifikasi dari x notifikasinya kosong dan tidak ada apaapa pas di cek di aplikasinya bahkan notifikasinya hilang ohh yaa tambahin juga fitur buat lihat notifikasi sebelumnya kayak di youtube soalnya itu berguna banget notifikasinya kebanyakan belum juga sempat baca sudah hilang begitu saja apalagi kalau ada berita drama gorengan atau dongeng sebelum tidur yang sayang banget buat dilewatin,"['setiap', 'mencet', 'notifikasi', 'dari', 'x', 'notifikasinya', 'kosong', 'dan', 'tidak', 'ada', 'apaapa', 'pas', 'di', 'cek', 'di', 'aplikasinya', 'bahkan', 'notifikasinya', 'hilang', 'ohh', 'yaa', 'tambahin', 'juga', 'fitur', 'buat', 'lihat', 'notifikasi', 'sebelumnya', 'kayak', 'di', 'youtube', 'soalnya', 'itu', 'berguna', 'banget', 'notifikasinya', 'kebanyakan', 'belum', 'juga', 'sempat', 'baca', 'sudah', 'hilang', 'begitu', 'saja', 'apalagi', 'kalau', 'ada', 'berita', 'drama', 'gorengan', 'atau', 'dongeng', 'sebelum', 'tidur', 'yang', 'sayang', 'banget', 'buat', 'dilewatin']","['mencet', 'notifikasi', 'x', 'notifikasinya', 'kosong', 'apaapa', 'pas', 'cek', 'aplikasinya', 'notifikasinya', 'hilang', 'ohh', 'tambahin', 'fitur', 'lihat', 'notifikasi', 'kayak', 'youtube', 'berguna', 'banget', 'notifikasinya', 'kebanyakan', 'baca', 'hilang', 'berita', 'drama', 'gorengan', 'dongeng', 'tidur', 'sayang', 'banget', 'dilewatin']",mencet notifikasi x notifikasi kosong apaapa pas cek aplikasi notifikasi hilang ohh tambahin fitur lihat notifikasi kayak youtube guna banget notifikasi banyak baca hilang berita drama goreng dongeng tidur sayang banget dilewatin
"dulu sih bagus banget ga ada bug. Sekarang, wkwk, ga tau harus ngetik apa. Liat postingan cerita gabisa semuanya, setengah aja, pas di search manual, malah engga bisa jadi kembali ke awal postingan, sering error juga, dan masih banyak yang lain. Di harapkan buat update berikutnya, ga gini ya.","dulu sih bagus banget ga ada bug. sekarang, wkwk, ga tau harus ngetik apa. liat postingan cerita gabisa semuanya, setengah aja, pas di search manual, malah engga bisa jadi kembali ke awal postingan, sering error juga, dan masih banyak yang lain. di harapkan buat update berikutnya, ga gini ya.",dulu sih bagus banget ga ada bug sekarang wkwk ga tau harus ngetik apa liat postingan cerita gabisa semuanya setengah aja pas di search manual malah engga bisa jadi kembali ke awal postingan sering error juga dan masih banyak yang lain di harapkan buat update berikutnya ga gini ya,dulu sih bagus banget tidak ada bug sekarang tertawa tidak tahu harus ngetik apa lihat postingan cerita tidak bisa semuanya setengah saja pas di search manual bahkan tidak bisa jadi kembali ke awal postingan sering error juga dan masih banyak yang lain di harapkan buat update berikutnya tidak begini iya,"['dulu', 'sih', 'bagus', 'banget', 'tidak', 'ada', 'bug', 'sekarang', 'tertawa', 'tidak', 'tahu', 'harus', 'ngetik', 'apa', 'lihat', 'postingan', 'cerita', 'tidak', 'bisa', 'semuanya', 'setengah', 'saja', 'pas', 'di', 'search', 'manual', 'bahkan', 'tidak', 'bisa', 'jadi', 'kembali', 'ke', 'awal', 'postingan', 'sering', 'error', 'juga', 'dan', 'masih', 'banyak', 'yang', 'lain', 'di', 'harapkan', 'buat', 'update', 'berikutnya', 'tidak', 'begini', 'iya']","['bagus', 'banget', 'bug', 'tertawa', 'ngetik', 'lihat', 'postingan', 'cerita', 'pas', 'search', 'manual', 'postingan', 'error', 'harapkan', 'update']",bagus banget bug tertawa ngetik lihat postingan cerita pas search manual postingan error harap update
"tolong Kepada Pihak Aplikasi X, Saya mohon perbaiki Bug saya ingin login ke akun saya tidak bisa, dan selalu saja ada tulisan yaitu ""ada kesalahan teknis ulangi lagi permintaan anda nanti"". Saya mohon perbaiki Bug ini Dan Ada Bug Saya paling saya jengkel Yaitu Postingan nya Loading terus menerus atau lemot padahal jaringannya/internetnya bagus. Saya mohon Perbaiki Secepatnya","tolong kepada pihak aplikasi x, saya mohon perbaiki bug saya ingin login ke akun saya tidak bisa, dan selalu saja ada tulisan yaitu ""ada kesalahan teknis ulangi lagi permintaan anda nanti"". saya mohon perbaiki bug ini dan ada bug saya paling saya jengkel yaitu postingan nya loading terus menerus atau lemot padahal jaringannya/internetnya bagus. saya mohon perbaiki secepatnya",tolong kepada pihak aplikasi x saya mohon perbaiki bug saya ingin login ke akun saya tidak bisa dan selalu saja ada tulisan yaitu ada kesalahan teknis ulangi lagi permintaan anda nanti saya mohon perbaiki bug ini dan ada bug saya paling saya jengkel yaitu postingan nya loading terus menerus atau lemot padahal jaringannya internetnya bagus saya mohon perbaiki secepatnya,tolong kepada pihak aplikasi x saya mohon perbaiki bug saya ingin login ke akun saya tidak bisa dan selalu saja ada tulisan yaitu ada kesalahan teknis ulangi lagi permintaan anda nanti saya mohon perbaiki bug ini dan ada bug saya paling saya jengkel yaitu postingan nya loading terus menerus atau lambat padahal jaringannya internetnya bagus saya mohon perbaiki secepatnya,"['tolong', 'kepada', 'pihak', 'aplikasi', 'x', 'saya', 'mohon', 'perbaiki', 'bug', 'saya', 'ingin', 'login', 'ke', 'akun', 'saya', 'tidak', 'bisa', 'dan', 'selalu', 'saja', 'ada', 'tulisan', 'yaitu', 'ada', 'kesalahan', 'teknis', 'ulangi', 'lagi', 'permintaan', 'anda', 'nanti', 'saya', 'mohon', 'perbaiki', 'bug', 'ini', 'dan', 'ada', 'bug', 'saya', 'paling', 'saya', 'jengkel', 'yaitu', 'postingan', 'nya', 'loading', 'terus', 'menerus', 'atau', 'lambat', 'padahal', 'jaringannya', 'internetnya', 'bagus', 'saya', 'mohon', 'perbaiki', 'secepatnya']","['tolong', 'aplikasi', 'x', 'mohon', 'perbaiki', 'bug', 'login', 'akun', 'tulisan', 'kesalahan', 'teknis', 'ulangi', 'permintaan', 'mohon', 'perbaiki', 'bug', 'bug', 'jengkel', 'postingan', 'loading', 'menerus', 'lambat', 'jaringannya', 'internetnya', 'bagus', 'mohon', 'perbaiki', 'secepatnya']",tolong aplikasi x mohon baik bug login akun tulis salah teknis ulang minta mohon baik bug bug jengkel postingan loading terus lambat jaring internetnya bagus mohon baik cepat
